file_id,meta,left,node,right,freq,ttr,entropy,section
W_ENS_PTJ_XX1_029,ENS,time to study . On,the other hand,", there are some select",35,0.615,0.929,top
W_JPN_SMK_A2_0_037,JPN,"by smoking . But ,",the other hand,", some guests hate smoking",35,0.615,0.929,top
W_ENS_SMK_XX3_33,ENS,". Dangerous driving , on",the other hand,", is rightly illegal .",35,0.615,0.929,top
W_ENS_PTJ_XX1_063,ENS,part time job . On,the other hand,", a student who has",35,0.615,0.929,top
W_JPN_PTJ_B1_1_085,JPN,"high school , but on",the other hand,", the college student do",35,0.615,0.929,top
W_JPN_SMK_A2_0_068,JPN,smoking is harmful . On,the other hand,", there is an opinion",35,0.615,0.929,top
W_JPN_PTJ_B1_1_080,JPN,part time job . On,the other hand,", even if the latter",35,0.615,0.929,top
W_JPN_PTJ_B1_1_061,JPN,"on . But , on",the other hand,", there is a person",35,0.615,0.929,top
W_JPN_SMK_A2_0_012,JPN,cause their cancer . On,the other hand,", there are some people",35,0.615,0.929,top
W_ENS_PTJ_XX3_27,ENS,"of college students , on",the other hand,", it is probable that",35,0.615,0.929,top
W_JPN_SMK_B1_1_015,JPN,at the restaurant . On,the other hand,", it is not necessary",35,0.615,0.929,top
W_ENS_PTJ_XX1_090,ENS,be very helpful . On,the other hand,", a part time job",35,0.615,0.929,top
W_JPN_PTJ_B1_1_024,JPN,job is studying . On,the other hand,we are also post working,35,0.615,0.929,top
W_JPN_PTJ_B1_1_123,JPN,person fit me . On,the other hand,some students absent his class,35,0.615,0.929,top
W_JPN_SMK_A2_0_138,JPN,"right of smoking , on",the other hand,we have no right of,35,0.615,0.929,top
W_JPN_SMK_A2_0_091,JPN,"is direct violence , on",the other hand,", smoking is'indirect'violence . But",35,0.615,0.929,top
W_ENS_PTJ_XX1_047,ENS,and be polite . On,the other hand,", there are many people",35,0.615,0.929,top
W_ENS_SMK_XX1_058,ENS,family of four . On,the other hand,", when smokers go to",35,0.615,0.929,top
W_JPN_SMK_B1_1_123,JPN,his house too . On,the other hand,some people say we should,35,0.615,0.929,top
W_JPN_SMK_A2_0_087,JPN,all the restaurants . On,the other hand,", from the restaurants '",35,0.615,0.929,top
W_JPN_PTJ_B1_1_172,JPN,part time job . On,the other hand,", I think that college",35,0.615,0.929,top
W_JPN_PTJ_A2_0_153,JPN,be polite unconsciously . On,the other hand,", when you talk to",35,0.615,0.929,top
W_JPN_PTJ_B1_1_072,JPN,are very useful . On,the other hand,", some people may say",35,0.615,0.929,top
W_JPN_SMK_A2_0_093,JPN,injure only users . On,the other hand,tobaccos injure not only users,35,0.615,0.929,top
W_ENS_PTJ_XX1_039,ENS,such a pursuit . On,the other hand,", students who feel they",35,0.615,0.929,top
W_ENS_SMK_XX1_032,ENS,they were smokers . On,the other hand,", almost 90 % of",35,0.615,0.929,top
W_JPN_PTJ_B1_1_120,JPN,", if possible . On",the other hand,", some people may say",35,0.615,0.929,top
W_ENS_SMK_XX3_56,ENS,rights . The smokers on,the other hand,claim that it ignores theirs,35,0.615,0.929,top
W_JPN_SMK_B1_1_145,JPN,because of smoke . On,the other hand,", if they sit nonsmoking",35,0.615,0.929,top
W_JPN_SMK_B1_1_025,JPN,to these people . On,the other hand,", smokers who ban smoking",35,0.615,0.929,top
W_JPN_PTJ_B1_1_146,JPN,is absolutely needed . On,the other hand,", common sences is needed",35,0.615,0.929,top
W_JPN_PTJ_B1_2_39,JPN,older than us . On,the other hand,", we can do it",35,0.615,0.929,top
W_ENS_PTJ_XX2_25,ENS,the long term . On,the other hand,", if students are paying",35,0.615,0.929,top
W_JPN_PTJ_A2_0_041,JPN,to my taste . On,the other hand,", I think that it",35,0.615,0.929,top
W_JPN_SMK_A2_0_120,JPN,near to smoker . On,the other hand,", cigarette is a necessity",35,0.615,0.929,top
W_ENS_PTJ_XX1_048,ENS,ways . It has taken,a long time,for me to learn about,34,0.615,0.929,top
W_JPN_PTJ_B1_1_167,JPN,and have been working for,a long time,. You can lern so,34,0.615,0.929,top
W_ENS_SMK_XX3_35,ENS,it should have been done,a long time,ago . I think there,34,0.615,0.929,top
W_ENS_SMK_XX1_054,ENS,we have to work for,a long time,in the restaurant every day,34,0.615,0.929,top
W_JPN_SMK_A2_0_069,JPN,and enjoy their life for,a long time,. If a woman is,34,0.615,0.929,top
W_ENS_PTJ_XX1_048,ENS,"this , and has taken",a long time,for me to shake the,34,0.615,0.929,top
W_JPN_SMK_B1_2_16,JPN,is such a thing for,a long time,", non smoker may have",34,0.615,0.929,top
W_ENS_PTJ_XX1_012,ENS,been going to school for,a long time,or are pursuing an advanced,34,0.615,0.929,top
W_JPN_PTJ_B2_0_18,JPN,", some students work for",a long time,and it cut their time,34,0.615,0.929,top
W_JPN_SMK_B1_1_029,JPN,they do n't smoke for,a long time,. So it seems that,34,0.615,0.929,top
W_ENS_PTJ_XX1_041,ENS,a part time job for,a long time,. In my part time,34,0.615,0.929,top
