file_id,meta,left,node,right,freq,ttr,entropy,section
W_JPN_SMK_A2_0_063,JPN,when some people are smoking,in the same,restaurants . In such a,32,0.56,0.916,top
W_ENS_PTJ_XX2_14,ENS,for younger adults to engage,in the same,activities as household earners .,32,0.56,0.916,top
W_ENS_PTJ_XX1_001,ENS,of my fellow students are,in the same,boat and feel the same,32,0.56,0.916,top
W_JPN_SMK_B1_1_155,JPN,eating foods and drinking tea,in the same,building ; space . From,32,0.56,0.916,top
W_ENS_SMK_XX2_38,ENS,diseases or being uncomfortable sitting,in the same,room as smokers . While,32,0.56,0.916,top
W_ENS_PTJ_XX1_089,ENS,opportunities of full time employment,in the same,organization upon graduation . For,32,0.56,0.916,top
W_JPN_SMK_A2_0_095,JPN,. You will feel it,in the same,"way , too . For",32,0.56,0.916,top
W_JPN_SMK_B2_0_15,JPN,a little away from you,in the same,room . You can look,32,0.56,0.916,top
W_JPN_SMK_A2_0_032,JPN,. It means that everyone,in the same,space smoke as well as,32,0.56,0.916,top
W_ENS_PTJ_XX3_19,ENS,part - time job is,in the same,field in which they are,32,0.56,0.916,top
W_JPN_SMK_B1_2_18,JPN,not ok to someone smoking,in the same,"building . Moreover , the",32,0.56,0.916,top
W_JPN_SMK_B2_0_12,JPN,non smokers and smokers eat,in the same,restaurant without any conflict .,32,0.56,0.916,top
W_JPN_PTJ_B2_0_16,JPN,", and continue to work",in the same,company all the life .,32,0.56,0.916,top
W_JPN_SMK_B1_1_155,JPN,people who are eating foods,in the same,room in which the man,32,0.56,0.916,top
W_JPN_SMK_B1_1_066,JPN,to separate smokers and nonsmokers,in the same,room . And at the,32,0.56,0.916,top
W_ENS_PTJ_XX1_031,ENS,", and I think that",in the same,way I was able to,32,0.56,0.916,top
W_ENS_SMK_XX1_073,ENS,ban smoking at the restaurants,in the same,way that the U .,32,0.56,0.916,top
W_JPN_SMK_A2_0_056,JPN,there are people who smoke,in the same,"room , people who do",32,0.56,0.916,top
W_ENS_SMK_XX3_38,ENS,"smokers , are then put",in the same,danger that smokers are health,32,0.56,0.916,top
W_JPN_SMK_B1_1_019,JPN,n't smoke at the restaurants,in the same,reason . Today 's economy,32,0.56,0.916,top
W_JPN_SMK_B1_1_018,JPN,smokers and non smokers are,in the same,"room , and it is",32,0.56,0.916,top
W_JPN_PTJ_A2_0_025,JPN,abroad with friends or members,in the same,"laboratory , making money is",32,0.56,0.916,top
W_JPN_PTJ_B2_0_10,JPN,more things than older people,in the same,time . If we have,32,0.56,0.916,top
W_ENS_PTJ_XX1_007,ENS,that students must accomplish more,in the same,amount of time as they,32,0.56,0.916,top
W_JPN_SMK_B1_2_23,JPN,smoking seat are just exist,in the same,building . And the smoke,32,0.56,0.916,top
W_JPN_SMK_B2_0_03,JPN,my friend and family behave,in the same,way . As a result,32,0.56,0.916,top
W_JPN_SMK_A2_0_106,JPN,"a right of smoking ,",in the same,"way , those who do",32,0.56,0.916,top
W_JPN_SMK_B2_0_07,JPN,two of them are still,in the same,restaurant . Thus non smokers,32,0.56,0.916,top
W_ENS_PTJ_XX2_39,ENS,"are really lucky , working",in the same,industry or profession that they,32,0.56,0.916,top
W_ENS_PTJ_XX3_32,ENS,deals with pressure or stress,in the same,way . Placing too much,32,0.56,0.916,top
W_JPN_SMK_A2_0_127,JPN,two factors have been confused,in the same,space is not good .,32,0.56,0.916,top
W_JPN_SMK_B1_1_024,JPN,smoke and children are unconsciously,in the same,situation that they smoke .,32,0.56,0.916,top
W_JPN_SMK_A2_0_029,JPN,", you should n't be",at the same,place and come to there,31,0.56,0.916,top
W_JPN_SMK_B1_1_067,JPN,"n't smoke . However ,",at the same,"time , you get harm",31,0.56,0.916,top
W_ENS_PTJ_XX2_33,ENS,try to work and study,at the same,"time , without creating a",31,0.56,0.916,top
W_ENS_PTJ_XX1_042,ENS,trying to get a job,at the same,"place as me , so",31,0.56,0.916,top
W_JPN_SMK_B1_1_099,JPN,even when there are smokers,at the same,"restaurants . Or , for",31,0.56,0.916,top
W_JPN_SMK_B2_0_17,JPN,"which smokers make , and",at the same,time the scent sticks with,31,0.56,0.916,top
W_JPN_PTJ_B1_1_056,JPN,is very hard and painful,at the same,"time . Therefore , having",31,0.56,0.916,top
W_ENS_PTJ_XX3_48,ENS,intend to work and study,at the same,time . They may even,31,0.56,0.916,top
W_ENS_PTJ_XX1_058,ENS,money and still attend classes,at the same,time . Part time work,31,0.56,0.916,top
W_JPN_SMK_B1_1_076,JPN,smoking people can go there,at the same,"time . For example ,",31,0.56,0.916,top
W_ENS_PTJ_XX1_014,ENS,and be doing schoolwork all,at the same,time . I think I,31,0.56,0.916,top
W_JPN_SMK_B1_1_007,JPN,also has right not smoking,at the same,time . But non smoker,31,0.56,0.916,top
W_ENS_PTJ_XX1_027,ENS,to the college community while,at the same,time receiving compensation for their,31,0.56,0.916,top
W_JPN_PTJ_B1_1_007,JPN,me tired to have job,at the same,time . I need time,31,0.56,0.916,top
W_ENS_PTJ_XX1_082,ENS,finances and social life all,at the same,"time , has benefit me",31,0.56,0.916,top
W_JPN_PTJ_B1_1_120,JPN,and take part time jobs,at the same,"time , if we take",31,0.56,0.916,top
W_JPN_PTJ_B2_0_06,JPN,", too . But ,",at the same,"time , I think it",31,0.56,0.916,top
W_JPN_SMK_B1_1_120,JPN,"cleaner . If so ,",at the same,place nonsmokers and smokers can,31,0.56,0.916,top
W_JPN_PTJ_B1_1_069,JPN,When many guest come bar,at the same,"time , workers become very",31,0.56,0.916,top
W_JPN_PTJ_A2_0_059,JPN,on . But we are,at the same,time expected to be responsible,31,0.56,0.916,top
W_JPN_SMK_A2_0_041,JPN,smoking area and nonsmoking area,at the same,restaurant . As smoke does,31,0.56,0.916,top
W_JPN_PTJ_A2_0_029,JPN,world is always exciting but,at the same,time we are worry many,31,0.56,0.916,top
W_ENS_PTJ_XX1_091,ENS,difficult to work and study,at the same,time . This applies to,31,0.56,0.916,top
W_ENS_PTJ_XX3_44,ENS,students can work and study,at the same,time because they are getting,31,0.56,0.916,top
W_ENS_PTJ_XX3_19,ENS,building themselves educationally and economically,at the same,time .,31,0.56,0.916,top
W_ENS_PTJ_XX3_13,ENS,engage in work at study,at the same,time . Added to this,31,0.56,0.916,top
W_ENS_PTJ_XX3_29,ENS,working while trying to study,at the same,time . The marketplace is,31,0.56,0.916,top
W_ENS_PTJ_XX1_014,ENS,and also make some money,at the same,"time . For me ,",31,0.56,0.916,top
W_ENS_SMK_XX1_085,ENS,", they tend to smoke",at the same,"time , and just before",31,0.56,0.916,top
W_JPN_SMK_A2_0_106,JPN,rights are to be protected,at the same,time . To achieve it,31,0.56,0.916,top
W_JPN_SMK_B1_1_106,JPN,we feel smokes and dinner,at the same,"time , interest to our",31,0.56,0.916,top
W_JPN_PTJ_B1_1_072,JPN,These are very useful .,On the other,"hand , some people may",29,0.56,0.916,top
W_JPN_PTJ_A2_0_041,JPN,agreeable to my taste .,On the other,"hand , I think that",29,0.56,0.916,top
W_ENS_SMK_XX1_058,ENS,a family of four .,On the other,"hand , when smokers go",29,0.56,0.916,top
W_JPN_PTJ_B1_1_024,JPN,' job is studying .,On the other,hand we are also post,29,0.56,0.916,top
