file_id,meta,left,node,right,freq,ttr,entropy,section
W_JPN_SMK_A2_0_012,JPN,may cause their cancer .,On the other,"hand , there are some",29,0.56,0.916,top
W_JPN_SMK_B1_1_043,JPN,be banned at restaurants .,On the other,"side , it is also",29,0.56,0.916,top
W_JPN_PTJ_A2_0_153,JPN,to be polite unconsciously .,On the other,"hand , when you talk",29,0.56,0.916,top
W_ENS_PTJ_XX1_047,ENS,them and be polite .,On the other,"hand , there are many",29,0.56,0.916,top
W_JPN_PTJ_B1_1_123,JPN,every person fit me .,On the other,hand some students absent his,29,0.56,0.916,top
W_ENS_PTJ_XX1_090,ENS,not be very helpful .,On the other,"hand , a part time",29,0.56,0.916,top
W_JPN_PTJ_B1_1_080,JPN,have part time job .,On the other,"hand , even if the",29,0.56,0.916,top
W_JPN_SMK_B1_1_015,JPN,eating at the restaurant .,On the other,"hand , it is not",29,0.56,0.916,top
W_ENS_PTJ_XX1_039,ENS,from such a pursuit .,On the other,"hand , students who feel",29,0.56,0.916,top
W_JPN_PTJ_B1_1_146,JPN,skill is absolutely needed .,On the other,"hand , common sences is",29,0.56,0.916,top
W_ENS_SMK_XX1_032,ENS,that they were smokers .,On the other,"hand , almost 90 %",29,0.56,0.916,top
W_ENS_PTJ_XX1_029,ENS,more time to study .,On the other,"hand , there are some",29,0.56,0.916,top
W_JPN_SMK_A2_0_068,JPN,that smoking is harmful .,On the other,"hand , there is an",29,0.56,0.916,top
W_JPN_PTJ_B1_1_172,JPN,a part time job .,On the other,"hand , I think that",29,0.56,0.916,top
W_JPN_PTJ_B1_1_120,JPN,"ourselves , if possible .",On the other,"hand , some people may",29,0.56,0.916,top
W_ENS_PTJ_XX3_37,ENS,", in mind first .",On the other,"side of the coin ,",29,0.56,0.916,top
W_JPN_SMK_A2_0_093,JPN,Drugs injure only users .,On the other,hand tobaccos injure not only,29,0.56,0.916,top
W_JPN_SMK_B1_1_025,JPN,pay to these people .,On the other,"hand , smokers who ban",29,0.56,0.916,top
W_ENS_PTJ_XX1_063,ENS,a part time job .,On the other,"hand , a student who",29,0.56,0.916,top
W_JPN_PTJ_B1_2_39,JPN,are older than us .,On the other,"hand , we can do",29,0.56,0.916,top
W_JPN_SMK_B1_1_123,JPN,or his house too .,On the other,hand some people say we,29,0.56,0.916,top
W_JPN_SMK_A2_0_087,JPN,at all the restaurants .,On the other,"hand , from the restaurants",29,0.56,0.916,top
W_JPN_SMK_B1_1_145,JPN,uncomfortable because of smoke .,On the other,"hand , if they sit",29,0.56,0.916,top
W_JPN_SMK_A2_0_120,JPN,am near to smoker .,On the other,"hand , cigarette is a",29,0.56,0.916,top
W_ENS_PTJ_XX2_25,ENS,in the long term .,On the other,"hand , if students are",29,0.56,0.916,top
W_JPN_PTJ_B1_1_167,JPN,college and have been working,for a long,time . You can lern,22,0.56,0.916,top
W_JPN_SMK_B1_1_029,JPN,when they do n't smoke,for a long,time . So it seems,22,0.56,0.916,top
W_JPN_SMK_A2_0_150,JPN,someone smokes on the seat,for a long,"time , the seat has",22,0.56,0.916,top
W_JPN_SMK_A2_0_057,JPN,people who have smoked heavily,for a long,time depend on cigarette heavily,22,0.56,0.916,top
W_JPN_SMK_A2_0_069,JPN,health and enjoy their life,for a long,time . If a woman,22,0.56,0.916,top
W_JPN_PTJ_A2_0_062,JPN,homework and come to university,for a long,way . They are also,22,0.56,0.916,top
W_ENS_SMK_XX1_070,ENS,are some people that smoke,for a long,time and have no cancer,22,0.56,0.916,top
W_JPN_SMK_B1_1_029,JPN,that people who have smoked,for a long,time are likely to get,22,0.56,0.916,top
W_ENS_SMK_XX1_005,ENS,. This has been coming,for a long,time actually and there have,22,0.56,0.916,top
W_JPN_PTJ_A2_0_035,JPN,We rely on our parents,for a long,"time , we should independent",22,0.56,0.916,top
W_JPN_SMK_A2_0_056,JPN,And the bad smell remains,for a long,time . The bad smell,22,0.56,0.916,top
W_ENS_SMK_XX1_073,ENS,and he had health problems,for a long,time . Once he moved,22,0.56,0.916,top
W_ENS_SMK_XX1_054,ENS,", we have to work",for a long,time in the restaurant every,22,0.56,0.916,top
W_ENS_SMK_XX1_050,ENS,she was mad at me,for a long,time simply for having something,22,0.56,0.916,top
W_ENS_SMK_XX1_021,ENS,older relatives have been smoking,for a long,"time , and so for",22,0.56,0.916,top
W_ENS_PTJ_XX1_012,ENS,have been going to school,for a long,time or are pursuing an,22,0.56,0.916,top
W_JPN_PTJ_B2_0_18,JPN,"Second , some students work",for a long,time and it cut their,22,0.56,0.916,top
W_JPN_SMK_B1_2_16,JPN,there is such a thing,for a long,"time , non smoker may",22,0.56,0.916,top
W_JPN_SMK_A2_0_120,JPN,If they do not smoke,for a long,"time , they will feel",22,0.56,0.916,top
W_ENS_PTJ_XX1_070,ENS,and I have thought so,for a long,"time . Therefore , I",22,0.56,0.916,top
W_ENS_PTJ_XX1_041,ENS,had a part time job,for a long,time . In my part,22,0.56,0.916,top
W_ENS_PTJ_XX3_16,ENS,I 've been doing it,for a long,time . I 've been,22,0.56,0.916,top
W_ENS_SMK_XX3_51,ENS,in restaurants and prohibiting smoking,in all public,spaces is long overdue in,14,0.56,0.916,top
W_ENS_SMK_XX3_41,ENS,Smoking should be banned,in all public,places in every country right,14,0.56,0.916,top
W_JPN_SMK_B1_1_057,JPN,duty of prohibition of smoking,in all public,"places , I would like",14,0.56,0.916,top
W_ENS_SMK_XX3_35,ENS,but a complete smoking ban,in all public,"places including parks , which",14,0.56,0.916,top
W_ENS_SMK_XX1_084,ENS,be total ban on smoking,in all public,"places , including restaurants .",14,0.56,0.916,top
W_ENS_SMK_XX3_37,ENS,imposing a ban on smoking,in all public,places and not just restrict,14,0.56,0.916,top
W_ENS_SMK_XX2_21,ENS,believe smoking should be banned,in all public,areas . And I mean,14,0.56,0.916,top
W_ENS_SMK_XX3_56,ENS,seem to be banning smoking,in all public,areas and restaurants as well,14,0.56,0.916,top
W_ENS_SMK_XX2_02,ENS,that smoking should be banned,in all public,places in Japan . The,14,0.56,0.916,top
W_ENS_SMK_XX2_43,ENS,they should n't be allowed,in all public,"places , but I do",14,0.56,0.916,top
W_ENS_SMK_XX2_01,ENS,in restaurants as well as,in all public,places . Only in this,14,0.56,0.916,top
W_ENS_SMK_XX2_19,ENS,more than just restaurants but,in all public,places . At the same,14,0.56,0.916,top
W_JPN_SMK_B2_0_14,JPN,that smoking should be banned,in all public,"places . Sure , people",14,0.56,0.916,top
W_ENS_SMK_XX2_38,ENS,that it should be banned,in all public,places in Japan and not,14,0.56,0.916,top
W_JPN_PTJ_B1_2_40,JPN,with people who I met,for the first,time . I think I,12,0.56,0.916,random
W_ENS_SMK_XX2_13,ENS,one preventable cause of death,in the entire,world . One can only,3,0.56,0.916,random
W_JPN_PTJ_A2_0_149,JPN,money is what and work,in the social,"is what . And ,",2,0.56,0.916,random
W_ENS_SMK_XX3_29,ENS,have a right to work,in a safe,"environment , which includes a",2,0.56,0.916,random
W_JPN_SMK_A2_0_009,JPN,enjoy eating and relax .,At the same,"time , however , a",5,0.56,0.916,random
W_JPN_SMK_B2_0_12,JPN,to find that people sitting,at the next,table are smoking . This,3,0.56,0.916,random
W_ENS_SMK_XX1_029,ENS,because they have to deal,with the bad,smell and harmful effects upon,2,0.56,0.916,random
W_ENS_SMK_XX1_016,ENS,probably will have any effect,on the Japanese,"situation , but I do",2,0.56,0.916,random
W_ENS_SMK_XX2_02,ENS,time for serious action irrespective,of the feeble,arguments put forward by the,1,0.56,0.916,random
W_JPN_SMK_B1_1_084,JPN,of nonsmokers we may suffer,from a serious,disease that is caused by,1,0.56,0.916,random
W_JPN_SMK_A2_0_025,JPN,", the top of tobacco",with a little,fire is very dangerous .,2,0.56,0.916,random
W_JPN_SMK_A2_0_099,JPN,smoking should be completely banned,at all public,places and I want to,7,0.56,0.916,random
W_JPN_PTJ_A2_0_090,JPN,started a part time job,at a fast,food restaurant this spring .,2,0.56,0.916,random
W_JPN_PTJ_B1_1_113,JPN,finally she failed many test,in the second,semester . She said that,2,0.56,0.916,random
W_ENS_PTJ_XX3_42,ENS,college will get them started,on the right,track towards keeping a full,2,0.56,0.916,random
W_ENS_SMK_XX1_064,ENS,n't really have a place,in the modern,world . I think this,2,0.56,0.916,random
W_ENS_SMK_XX1_078,ENS,that will cause a problem,for the other,customers . This goes not,3,0.56,0.916,random
W_JPN_SMK_B1_1_144,JPN,seen smoking in any appearances,in a new,light . That present condition,1,0.56,0.916,random
W_JPN_PTJ_A2_0_049,JPN,have to work to earn,in the close,future . If we have,1,0.56,0.916,random
W_ENS_PTJ_XX1_041,ENS,girl to experience at least,for a little,bit .,2,0.56,0.916,random
W_ENS_PTJ_XX3_48,ENS,"part - time , aside",from the monetary,"gains , allows students to",1,0.56,0.916,random
W_JPN_SMK_B1_1_007,JPN,smoke . It is one,of the evident,smoking is bad for one,1,0.56,0.916,random
W_ENS_PTJ_XX1_095,ENS,Any forms of exhaustion interferes,with the academic,ability and ultimately the success,1,0.56,0.916,random
W_JPN_SMK_A2_0_070,JPN,"In fact , I work",at an Italian,restaurant . A main reason,2,0.56,0.916,random
W_ENS_SMK_XX3_04,ENS,of government rather than that,of a democratic,entity . Not being familiar,1,0.56,0.916,random
W_ENS_PTJ_XX1_100,ENS,by saddling the questing student,with some menial,", minimum wage drudgery ,",1,0.56,0.916,random
W_ENS_SMK_XX2_23,ENS,issue of health costs .,With the national,government ( Japan ) bearing,1,0.56,0.916,random
W_ENS_PTJ_XX1_010,ENS,as to start conditioning yourself,for a real,career .,5,0.56,0.916,random
W_ENS_PTJ_XX3_21,ENS,by turning up for work,at a set,time and following directions properly,1,0.56,0.916,random
W_JPN_SMK_B1_1_139,JPN,. Although they have come,from a great,distance to eat delicious foods,1,0.56,0.916,random
W_JPN_SMK_B1_2_33,JPN,is said that the smoker,of the current,"Japan is about 27 ,",1,0.56,0.916,random
W_JPN_SMK_A2_0_092,JPN,"Namely , smokers who smoke",in a crowded,"space , they reduce the",1,0.56,0.916,random
W_JPN_SMK_B1_1_131,JPN,which forbids people to smoke,at every public,places .,1,0.56,0.916,random
W_ENS_PTJ_XX1_038,ENS,up for a successful portion,for a large,part of your life .,1,0.56,0.916,random
W_ENS_PTJ_XX2_31,ENS,students are already in possession,of the correct,mindset and organisational skills or,1,0.56,0.916,random
W_JPN_SMK_B2_0_10,JPN,restaurant and risk the health,of both other,people 's and theirs :,1,0.56,0.916,random
W_JPN_SMK_A2_0_099,JPN,a cigarette and feel bad,at a public,place as a restaurant .,1,0.56,0.916,random
W_ENS_PTJ_XX1_080,ENS,job can help them pay,for all personal,"expenses or study materials ,",1,0.56,0.916,random
W_JPN_SMK_A2_0_046,JPN,Some people begin to smoke,with a slight,interest . Then they come,1,0.56,0.916,random
W_ENS_PTJ_XX1_095,ENS,University studies lay the foundation,for a successful,career later in life .,3,0.56,0.916,random
W_JPN_PTJ_B1_1_154,JPN,is impossible to spend all,of the free,time for playing . They,4,0.56,0.916,random
W_ENS_PTJ_XX3_37,ENS,their grades would improve and,in the long,"run , provide them with",4,0.56,0.916,random
W_JPN_PTJ_B1_1_116,JPN,may be got angry .,Through these bitter,"experiences , we surely become",1,0.56,0.916,random
W_ENS_PTJ_XX2_20,ENS,time job during college rests,with the individual,student . The onus is,1,0.56,0.916,random
W_JPN_PTJ_B1_2_07,JPN,I want to tell you,for the second,reason is that college student,1,0.56,0.916,random
W_JPN_SMK_A2_0_106,JPN,Smoking is not forbidden .,On the contrary,", it is allowed .",3,0.56,0.916,random
W_JPN_PTJ_B1_2_45,JPN,to be sociable before working,in the real,world . I think a,9,0.56,0.916,random
W_ENS_SMK_XX2_39,ENS,all small restaurants tucked away,in the back,streets of many small suburbs,1,0.56,0.916,random
W_JPN_SMK_A2_0_077,JPN,", smoking makes the taste",of a delicious,meal bad . And smoking,1,0.56,0.916,random
W_JPN_SMK_A2_0_090,JPN,a nice dinner and communicate,with each other,. Indeed we can see,4,0.56,0.916,random
W_ENS_PTJ_XX3_36,ENS,do well by relieving some,of the financial,and time pressures that many,2,0.56,0.916,random
W_ENS_SMK_XX1_014,ENS,Japan would probably have some,of the same,benefits as it had here,10,0.56,0.916,random
W_JPN_SMK_B1_1_032,JPN,? It is impossible .,In the same,"way , it is impossible",7,0.56,0.916,random
W_ENS_SMK_XX1_003,ENS,only help the health situation,in the long,run . Too bad if,4,0.56,0.916,random
W_JPN_PTJ_A2_0_006,JPN,school to be teached like,in a formal,"school , as a part",1,0.56,0.916,random
W_ENS_PTJ_XX1_065,ENS,you can eventually make working,at a fulltime,"job , so I think",1,0.56,0.916,random
W_ENS_SMK_XX1_079,ENS,"smoking in restaurants , or",in any public,"space for that matter ,",4,0.56,0.916,random
W_ENS_SMK_XX3_41,ENS,Japanese Government are also aware,of the medical,statistics that show clearly that,2,0.56,0.916,random
W_ENS_PTJ_XX2_18,ENS,a man could have less,than a high,school education and still find,1,0.56,0.916,random
W_ENS_PTJ_XX1_068,ENS,found a first time job,at a local,"restaurant . At first ,",3,0.56,0.916,random
W_JPN_SMK_A2_0_120,JPN,", and they may become",in a bad,temper . They may not,1,0.56,0.916,random
W_JPN_SMK_A2_0_145,JPN,"opinion . First , smoking",in the public,space is too danger .,11,0.56,0.916,random
W_JPN_SMK_A2_0_081,JPN,can not eat food deliciously,in the bad,smell . That is why,1,0.56,0.916,random
W_ENS_PTJ_XX1_001,ENS,trundle off to a job,at the local,fast food shop . I,8,0.56,0.916,random
W_JPN_SMK_B1_2_25,JPN,absurd of them to smoke,at the public,places without caring about others,10,0.56,0.916,random
W_ENS_SMK_XX1_010,ENS,this is to say nothing,of the horrible,effects on people 's health,2,0.56,0.916,random
W_JPN_SMK_B1_1_119,JPN,smoking at table is one,of the international,rules and smoking should be,1,0.56,0.916,random
W_ENS_PTJ_XX1_010,ENS,to get used to working,in the real,world . Some college students,9,0.56,0.916,random
W_JPN_SMK_A2_0_122,JPN,"smokers . In particularly ,",at the public,"space such as restaurants ,",10,0.56,0.916,random
W_JPN_PTJ_A2_0_146,JPN,learned a lot of things,at each other,part time jobs . First,1,0.56,0.916,random
W_JPN_SMK_A2_0_116,JPN,we pass the smoking area,for some inevitable,"reasons . For instance ,",1,0.56,0.916,random
W_ENS_PTJ_XX3_55,ENS,they enter their new jobs,on a full,- time basis . If,2,0.56,0.916,random
W_ENS_PTJ_XX1_007,ENS,would not have to work,during the regular,semester . In this way,1,0.56,0.916,random
W_ENS_SMK_XX1_064,ENS,or to not begin smoking,in the first,place . Banning smoking at,10,0.56,0.916,random
W_JPN_SMK_B1_1_169,JPN,an example . I work,at an Italian,restaurant . In the evening,2,0.56,0.916,random
W_JPN_SMK_A2_0_021,JPN,room . Restaurant is one,of the common,places . Many children and,2,0.56,0.916,random
W_ENS_PTJ_XX3_37,ENS,are loads of people down,at the local,employment centre every week day,8,0.56,0.916,random
W_ENS_SMK_XX1_092,ENS,", a nice cooked meal",in a beautiful,restaurant or smoking a cigarette,1,0.56,0.916,random
W_JPN_PTJ_B1_1_087,JPN,"Today , this is one",of the charactaristic,problems in Japan and this,1,0.56,0.916,random
W_ENS_SMK_XX2_21,ENS,be permitted to smoke regardless,of the medical,"consequences . However , I",2,0.56,0.916,random
W_ENS_PTJ_XX1_085,ENS,a government sponsored student loan,for the next,"3 years , which covered",2,0.56,0.916,random
W_JPN_PTJ_B1_1_090,JPN,me and I learn them,for the first,"time . Moreover , I",12,0.56,0.916,random
W_ENS_SMK_XX1_030,ENS,that smoking will hang around,for a little,"bit longer , but it",2,0.56,0.916,random
W_JPN_SMK_B1_1_108,JPN,", but smoking is prohibited",in the public,"place . So , if",11,0.56,0.916,random
W_ENS_PTJ_XX1_096,ENS,money that they have earned,versus the boring,life of uninteresting study and,1,0.56,0.916,random
W_ENS_PTJ_XX3_25,ENS,"their parents , scholarships or",by some other,"means , I feel that",1,0.56,0.916,random
W_JPN_PTJ_B1_1_175,JPN,out of the ordinary .,In the old,"days , both may be",1,0.56,0.916,random
W_JPN_SMK_A2_0_135,JPN,people from buying it .,In the other,place you ca n't smoke,2,0.56,0.916,random
W_JPN_SMK_A2_0_130,JPN,the visitors have a meal,with a pleasant,and sufficient feeling . Nevertheless,1,0.56,0.916,random
W_JPN_PTJ_A2_0_076,JPN,job . I have worked,on the chainese,"restaurant , I had to",1,0.56,0.916,random
W_JPN_SMK_B1_1_143,JPN,feel irritated when I 'm,in a secret,room and other person in,1,0.56,0.916,random
W_ENS_SMK_XX1_008,ENS,terribly unhealthy and by smoking,in a small,area or inside a restaurant,3,0.56,0.916,random
W_ENS_PTJ_XX1_086,ENS,. A part time job,in an unrelated,field of study could discover,1,0.56,0.916,random
W_ENS_PTJ_XX3_02,ENS,are all striving to graduate,within the top,ten of their respective courses,2,0.56,0.916,random
W_ENS_SMK_XX1_051,ENS,more discussion . We live,in a democratic,"society , and I am",3,0.56,0.916,random
W_ENS_PTJ_XX1_049,ENS,we have a good job,at a fun,"place on campus , we",1,0.56,0.916,random
W_ENS_PTJ_XX2_32,ENS,completing their assigned daily tasks,in a professional,and orderly fashion . I,2,0.56,0.916,random
W_ENS_PTJ_XX3_07,ENS,getting high scores or being,in the top,ten percent which employers and,1,0.56,0.916,random
W_ENS_SMK_XX1_086,ENS,", servers could enjoy working",without the dangerous,effects of second hand smoke,1,0.56,0.916,random
W_JPN_SMK_B1_1_052,JPN,", smoking should be banned",at all social,"place , of course including",1,0.56,0.916,random
W_ENS_SMK_XX1_033,ENS,and can not do .,In the same,"way , it is not",7,0.56,0.916,random
W_ENS_PTJ_XX3_24,ENS,responsibility developed over time makes,for a happy,hiring official . It is,1,0.56,0.916,random
W_ENS_SMK_XX1_100,ENS,a fat Cuban and taking,in that rich,", comforting flavour is of",1,0.56,0.916,random
W_ENS_PTJ_XX2_41,ENS,to the pressures of working,at a real,job which will better prepare,3,0.56,0.916,random
W_ENS_PTJ_XX3_42,ENS,as bad as getting fired,from a full,- time job and they,1,0.56,0.916,random
W_ENS_PTJ_XX2_07,ENS,Students who spend time away,from the oppressive,", thought - controlling atmosphere",1,0.56,0.916,random
W_ENS_PTJ_XX1_027,ENS,allows them to give back,in some small,way to the college community,3,0.56,0.916,random
W_ENS_PTJ_XX1_086,ENS,interests and offer more options,for a brighter,"future . Third , an",1,0.56,0.916,random
W_ENS_SMK_XX1_059,ENS,"restaurants in Japan , all",of the same,positive benefits that I am,10,0.56,0.916,random
W_ENS_PTJ_XX3_24,ENS,activities as an important part,of a prospective,"student 's application , HR",1,0.56,0.916,random
W_JPN_SMK_A2_0_100,JPN,that smoking should be prohibited,at the entire,restaurant .,5,0.56,0.916,random
W_ENS_SMK_XX3_21,ENS,. I feel especially bad,for the little,tikes who have to breathe,1,0.56,0.916,random
W_JPN_PTJ_B1_1_061,JPN,"so on . But ,",on the other,"hand , there is a",8,0.56,0.916,random
W_ENS_PTJ_XX2_08,ENS,it that their lives are,on the right,"track . This , in",2,0.56,0.916,random
W_ENS_SMK_XX1_015,ENS,and if you continue this,for a whole,"year , you will have",1,0.56,0.916,random
W_JPN_SMK_B1_1_011,JPN,", smoking is banned .",At a official,"place , they think other",1,0.56,0.916,random
W_JPN_SMK_B1_2_33,JPN,", you would feel unpleasantness",in a smoky,room when you 're eating,1,0.56,0.916,random
W_JPN_SMK_B2_0_05,JPN,not trouble other people .,In some public,place where we ca n't,1,0.56,0.916,random
W_JPN_PTJ_A2_0_117,JPN,with someone who you meet,for the first,"time , you can talk",12,0.56,0.916,random
W_JPN_SMK_B1_1_137,JPN,food because of smoking .,In the public,"space , non smoker 's",2,0.56,0.916,random
W_JPN_PTJ_B1_1_108,JPN,There are some reasons .,For the first,"reason , college students need",2,0.56,0.916,random
W_JPN_SMK_B1_1_097,JPN,no smokers around you .,In the first,"place , a restaurant is",8,0.56,0.916,random
W_ENS_PTJ_XX1_099,ENS,doing homework or going home,at a reasonable,time . If we do,1,0.56,0.916,random
W_ENS_SMK_XX1_005,ENS,be in the best interests,of the Japanese,people for the future .,4,0.56,0.916,random
W_ENS_PTJ_XX1_089,ENS,society may have little concept,of the real,value of money . They,5,0.56,0.916,random
W_ENS_SMK_XX3_31,ENS,available to legal age purchasers,at any public,convenience store or public vending,2,0.56,0.916,random
W_ENS_SMK_XX3_48,ENS,that he likes to smoke,in the fresh,air anyway . Seriously though,1,0.56,0.916,random
W_ENS_SMK_XX3_54,ENS,believe that they should interfere,in this particular,issue and should leave it,1,0.56,0.916,random
W_JPN_SMK_B1_2_25,JPN,natural that people who smoke,at the public,places should be fined heavily,10,0.56,0.916,random
